,1c,2c,3c,4c,5c,6c,7c,8c,9c,label,class,color,pi
DB00717,-1.1103381198,-0.538470844323,-0.200715999808,-0.470736324233,-0.647867520916,0.409875854498,0.530959912908,0.8064155407,-0.35566373773,Norethisterone,Hormones,#f2ea25,0.0
DB00254,-0.379386915471,-0.820909609936,-1.16576538711,-0.84634823702,-1.61441217291,1.26795365779,1.86818314635,7.53032479713,1.12332991167,Doxycycline,Anti-infectives,#66c059,0.04
DB01234,-1.06061239363,-0.703595997033,-0.485704325622,-0.49334049849,0.0674122926628,0.272780614066,0.0755006584502,0.0209844268624,0.153735704172,Dexamethasone,Hormones,#f2ea25,0.03
DB00540,-0.26284497907,1.22847417259,0.777082328128,-0.191439527226,-0.656430208396,-0.153491848516,-1.41677923261,-1.18496587767,-4.07303222335,Nortriptyline,Psychotherapeutic agents,#c059a2,0.09
DB01174,8.10632291356,0.403600645769,-2.21497306824,-1.04769604868,-0.226960550692,1.74797378824,-1.54939434269,0.0271741935481,3.02914906283,Phenobarbital,CNS agents,#976fb0,0.05
DB00421,-1.13810873815,-0.655271848918,-0.52786231833,-0.659169243309,-0.0801081382342,0.65647441257,0.775757128383,-1.17994330515,0.0891212808039,Spironolactone,Cardiovascular agents,#ee262c,0.02
DB00661,-1.1556434819,-0.975101920651,-0.721512388834,0.00848466122062,0.275496724289,-0.843928413269,-1.58372231703,-0.412618653928,0.104480444258,Verapamil,Cardiovascular agents,#ee262c,0.04
DB01050,-0.903400418198,-1.45150272439,-0.80123423907,0.18183928081,2.12426279998,-2.25432455183,-2.11443233774,0.254615301369,0.887006612264,Ibuprofen,CNS agents,#976fb0,0.05
DB00968,-0.126620825005,0.988391132189,-0.86303247715,-1.04434100306,1.36078559082,-1.9363629524,-5.21421169313,1.31675288355,-2.97637182592,Methyldopa,Cardiovascular agents,#ee262c,0.06
DB00766,-0.257224444522,-0.802680137729,-0.256142257015,-0.38157720471,-0.336223113937,0.543352276803,0.179746830396,0.0789281693419,-0.0751583422986,Clavulanate,Anti-infectives,#66c059,0.0
DB00945,2.65246746693,2.95970923095,1.64373567141,-4.95561963921,-0.00394744343844,0.549850031567,0.327807134756,-3.70555558618,6.03018782278,ASA,CNS agents,#976fb0,0.07
DB00641,-0.488280588485,0.565565125754,-0.138239497511,0.776014897076,-1.26372794536,-0.270780128609,0.375138558481,-1.15453330738,-2.03979562747,Simvastatin,Metabolic agents,#f47a2b,0.02
DB00338,-0.171224703276,-1.07624515999,-0.68326199301,-0.241419241328,0.234885006913,0.193323270646,2.04133084066,-0.0952454186862,-0.462321119802,Omeprazole,Gastrointestinal agents,#6c8b37,0.05
DB01059,-0.889476454377,-0.173079126317,-0.401745885951,-0.510227222332,0.0207470054735,0.466732303719,0.122966778868,0.421717404676,-0.241787241818,Norfloxacin,Anti-infectives,#66c059,0.01
DB00668,-1.00380787125,-0.663779684618,-0.447701164722,-0.451850888494,0.0125026025177,0.467621680434,0.299733983362,-0.351840222897,-0.182694251352,Epinephrine,Respiratory agents,#4da9df,0.02
DB00335,-1.02953707532,5.68122134123,2.52495516828,-2.8740358391,0.394107565504,-1.41989042531,0.218610593526,-2.24137712968,0.288701502267,Atenolol,Cardiovascular agents,#ee262c,0.06
DB00367,-1.12760143069,-0.642130290458,-0.280056865822,-0.49510129926,-0.703873093735,0.55825132893,0.894683918414,0.916411291711,0.0196030533492,Levonorgestrel,Hormones,#f2ea25,0.0
DB00584,-1.04910726268,-0.691340090914,-0.535635419126,-0.295480416357,-0.119676505665,0.333731107449,0.274066182282,-0.411485865521,-0.432546509048,Enalapril,Cardiovascular agents,#ee262c,0.0
DB00502,-0.958083746617,-0.396710534032,-0.345881441895,0.583586303252,-1.32647107915,-1.13370828087,-1.36051836319,-0.82969787485,-4.221955627,Haloperidol,Psychotherapeutic agents,#c059a2,0.2
DB00586,-1.08146090772,-0.774099245343,-0.596892477906,-0.501337324001,-0.0337536941612,0.617503176437,0.511833838907,-0.500729963622,-0.275654515325,Diclofenac,CNS agents,#976fb0,0.01
DB00316,-0.881337210982,-0.625133201,-0.639959936442,-0.259834869498,-0.157353575042,0.465724240723,0.545138341735,-0.223838070032,-0.141302310327,Acetaminophen,CNS agents,#976fb0,0.0
DB00390,2.59899573616,-4.00806150421,6.65861627673,3.53773647515,11.6020111152,-5.32697418682,7.67779949364,0.926197823087,-1.38690878157,Digoxin,Cardiovascular agents,#ee262c,0.24
DB01197,-1.05476968661,-0.694785141701,-0.546627200927,-0.27593410734,-0.136198894188,0.316994785826,0.270857707147,-0.418941570849,-0.46377804126,Captopril,Cardiovascular agents,#ee262c,0.0
DB00196,-0.148203834105,0.261081054073,-1.38443938499,2.87684918172,-0.873034866072,-0.794293453374,1.70909495975,-0.352495625826,0.365425498718,Fluconazole,Anti-infectives,#66c059,0.11
DB00741,-1.01776468911,-0.677521396553,-0.458639049873,-0.458733883673,0.02619495297,0.419445217597,0.244110281297,-0.267597581873,-0.0996976041314,Hydrocortisone,Hormones,#f2ea25,0.01
DB00798,-0.797325467522,-0.779119406974,-0.330990756633,-0.408142850437,0.430590709103,0.24807677696,0.611731539453,-0.314943747808,-0.30302147759,Gentamicin,Anti-infectives,#66c059,0.02
DB00472,-0.629054328799,0.844988218544,-2.25158495829,6.57389507927,-3.04085658536,-3.02901567571,1.29181036602,-0.218620794824,-0.121368098568,Fluoxetine,Psychotherapeutic agents,#c059a2,0.06
DB00695,-1.51309294203,0.243499118391,-0.0894450432586,-1.89583629229,-0.333738963715,1.56956050773,3.28711987429,-5.37586742499,3.81334381633,Furosemide,Cardiovascular agents,#ee262c,0.04
DB00860,0.370693594069,-0.767774569215,-1.07481233293,-0.811489838413,-0.130306085684,0.624006425092,0.0585609848692,0.267693714848,0.408192634574,Prednisolone,Hormones,#f2ea25,0.0
DB01223,0.147459227268,-1.1222265904,-0.657569195557,0.372811755501,-0.948137230842,-1.44127801822,-2.74367407161,2.42556408729,-0.808904851185,Aminophylline,Respiratory agents,#4da9df,0.01
DB00537,-0.941287630151,-0.441848605911,-0.546726462674,-0.463031982143,-0.0803632076473,0.470765367945,0.224295833858,0.367614745121,-0.294488621226,Ciprofloxacin,Anti-infectives,#66c059,0.01
DB00451,-0.921735737218,-0.589306629434,-1.07664370153,-0.367357254702,-0.399172506659,0.580225414111,0.810169606424,0.0118167486209,-0.247231656239,Levothyroxine,Hormones,#f2ea25,0.01
DB00829,0.332587020335,-0.352500868647,-1.01071836009,0.766912484422,-1.51666479818,0.262555668622,1.31390959073,-1.11612830935,-1.63085338311,Diazepam,CNS agents,#976fb0,0.09
DB00422,-1.0207366272,-0.698526120155,-0.348379136074,-0.281747591997,-0.204748257744,0.345284185066,0.108491320511,-0.387499363602,-0.613755140982,Methylphenidate,CNS agents,#976fb0,0.02
DB00630,-0.823050247485,-1.25535200824,1.02628942895,-0.0868551948191,-0.735980774322,0.701126160827,-0.204089556162,-0.593314233426,0.11230571365,Alendronate,Metabolic agents,#f47a2b,0.01
DB01001,-0.981956065971,0.535714141274,-1.21679556894,2.1941314737,-0.397803621314,-2.1402533798,-1.3361596752,0.137396582959,0.902318301701,Salbutamol,Respiratory agents,#4da9df,0.03
DB01120,-1.3525014683,-1.69605244627,-1.12131782812,0.480734997688,2.7528105442,-3.44660936533,-4.05555218035,0.584117089819,2.15562684653,Gliclazide,Metabolic agents,#f47a2b,0.12
DB00199,-0.741759970222,-0.58790435553,-0.429824760623,-0.290414743434,0.102257285396,0.318854561687,0.359736744253,-0.351797984679,-0.293215106539,Erythromycin,Anti-infectives,#66c059,0.01
DB00635,0.436377220689,-0.827696250179,-1.34385856214,-0.762934640575,-0.118313494997,0.450871285053,-0.112186872323,0.599105905065,0.99247871909,Prednisone,Hormones,#f2ea25,0.03
DB00571,-0.350319418613,15.4383435928,6.93042355597,-4.62696351185,0.691588006139,-3.68268915294,-0.254190959321,3.20474891113,-0.560092115631,Propranolol,Cardiovascular agents,#ee262c,0.1
DB00343,-0.261335464035,-1.39572448303,-1.3928585508,2.19143574539,2.98347654096,-4.92035781747,-3.47774428197,-0.962976896935,3.58400505262,Diltiazem,Cardiovascular agents,#ee262c,0.13
DB00437,-0.747732854326,-0.582973400689,-0.849696778319,-0.0503628487744,-0.342651223289,0.463654306492,0.812852187231,-0.0841993578165,-0.0961474655727,Allopurinol,Metabolic agents,#f47a2b,0.01
DB00550,-0.855856728156,-0.578233166319,-0.902171715086,-0.217406684224,-0.405651417247,0.607955367383,1.16520602714,-0.722387263942,0.109539307118,Propylthiouracil,Hormones,#f2ea25,0.01
